Restaurant ID,Restaurant Name,City,Address,Cuisines,Aggregate rating
120203,Nik Baker's,Chandigarh,"SCO 441 & 442, Sector 35 C, Sector 35, Chandigarh","Bakery, Desserts, Cafe",4.1
120219,OvenFresh,Chandigarh,"SCO 437 & 438, Sector 35 C, Sector 35, Chandigarh","Cafe, Bakery",4.1
121425,Super Donuts,Chandigarh,"SCO 446 Sector 35 C, Sector 35, Chandigarh","Burger, Fast Food, Desserts, Beverages",4.0
123010,Taco Bell,Chandigarh,"SCO 453-454, Sector 35C, Sector 35, Chandigarh","Mexican, Fast Food",4.2
123294,Karim's,Chandigarh,"SCO 33, Madhya Marg, Sector 7, Chandigarh","Mughlai, North Indian",3.3
121120,Virgin Courtyard,Chandigarh,"Backside, SCO 1A, Madhya Marg, Sector 7, Chandigarh",Italian,4.4
122940,Burgrill,Chandigarh,"Booth 70, Sector 8, Chandigarh","Burger, Fast Food",4.5
122830,Uncle Jack's,Chandigarh,"Booth 11, Sector 8, Chandigarh","Desserts, American",4.0
69024,That Madras Place,Chennai,"34/29, 2nd Main Road, Kasturibai Nagar, Adyar, Chennai","European, Italian, Desserts",4.2
72475,Haunted,Chennai,"273, F13, New Number 71, 2nd Main Road, Anna Nagar East, Chennai","North Indian, Chinese, Arabian",3.8
70431,Pantry d'or,Chennai,"21/11, J Block, 6th Avenue Main Road, Anna Nagar East, Chennai","Continental, Cafe, Italian, Desserts",4.4
71443,Palmshore,Chennai,"95, Jawaharlal Nehru Salai, Jafferkhanpet, Ashok Nagar, Chennai","North Indian, Mughlai, Chinese, South Indian",4.2
73088,Chili's,Chennai,"49 & 50 L, Express Avenue Mall, White's Road, Royapettah, Chennai","Mexican, American, Tex-Mex, Burger",4.8
